2011,,,,,,,,,,,,"Detyrimet / 
Debts or Outstanding",,Hyra vjetore / Annual Salary,,,
,,Paluajtshme / Real Estate,,Luajtshme / Movable,,Akcione / Shares,,Letra me vlerë / Bonds,,Para të gatshme në inst.fin.,,,,Paga / Regular,,Honorar / Honorariums,
,,"të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint","të deklaruesit
his/her","e përbashkët
joint"
Milivoje Stojanovic,SLS,,,,,,,,,,,,,,,,
Petar Miletić,SLS,50000,,,,,,,,,,10000,,30600,8400,,
Sasa Milosavljevic,SLS,420000,85000,5500,,,,,,,,,,15576,7080,,
Goran Marinkovic,SLS,,625000,52000,17000,,,,,,,11000,,26576,5100,,
Saša Rašić,SLS,76000,100000,6000,,,,,,28450,,,,17976,,,
Jeton Svirca,KKR,,70000,,,,,,,,,,,14400,,,
Myzejene Selmani,KKR,,300000,,,,,,,2500,,13000,,16800,,,
Muhamet Mustafa,KKR,40000,1295000,,8200,30000,120000,,,2450,,20867,79000,53121,39000,,
Sevdie Lama,KKR,,,6500,,,,,,,,5000,,1320,7200,,1200
Suzana Novobërdaliu,KKR,,250000,,,,,,,7100,,,,19131,,,
Ibrahim Makolli,KKR,,60000,5000,,,,,,700,,15000,,15360,,,
Uke Rugova,KKR,500000,1668000,25000,,350000,,,,2300,,250000,,22428,,,
Agim Kuleta,LB,,150000,,,50080,,,,1500,,26977,,29856,,,
Aurora Bakalli,LB,30000,70000,7000,,,,,,40000,,,,6000,4560,,
Gëzim Kelmendi,PD,,150000,,,,,,,,,10000,,21000,,,
Amir Ahmeti,PD,90000,270000,,,,,,,1149,,590,,15600,,,
Enis Kervan,KDTP,,180000,4200,,,,,,,,1500,,23203,,,
Fikrim Damka,KDTP,,120000,,,,,,,,,,,15480,,,
Müfera Şinik,KDTP,,80000,,,,,,,16000,,,,16680,4250,,
Albert Kinolli,PREBK,,250000,16000,7000,,,,,5000,,,,15600,,,
Danush Ademi,PDAK,80000,,13000,,,,,,,,11000,,18960,,,
Hamza Balje,BSDAK,,4780000,19000,75800,700000,,2500,,0,,,,13200,2400,,
Duda Bajle,VAKAT,,1650000,16000,,,,,,,50000,,,20000,162000,,
Rasim Demiri,VAKAT,,550000,,5000,,,,,10000,,,,15600,,,
Murselj Haljilji,GIG,40000,40000,3300,,,,,,,,150,,15528,,,
Xhevdet Neziraj,IRDK,80000,40000,,,,,,,5000,,,,16076,,,
Rada Trajkovic,JSL,,,,,,,,,627,,15000,,18360,8400,,
Sreten Ivanovic,JSL,,55000,,5000,,,,,2000,,,,15000,10000,,
Vesna Mikic,JSL,50000,210000,,10000,,,,,,,,,15600,11880,,
Vesimir Savic,JSL,,55000,3000,,,,,,,,4500,,15576,,,
Sasa Dokic,SDSKIM,220000,200000,30500,10000,,,,,,,,,15576,3840,,
Emilija Redzepi,NDS,,490000,,7000,,,,,2000,,,,,3240,,
